frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,yaw in radians,pitch in radians
202,0,6.707,0.98,1,0.014391,0.01145,-0.999831,-0.087236,0.053782,-0.994735,-0.037,0.033
203,0,6.74,0.98,1,-0.002497,0.01181,-0.999927,-0.075667,0.036043,-0.996481,-0.039,0.024
204,0,6.773,0.98,1,-0.00249,0.015821,-0.999872,-0.090364,0.040854,-0.99507,-0.047,0.028
205,0,6.807,0.98,1,-0.001094,0.016507,-0.999863,-0.082904,0.043667,-0.9956,-0.042,0.03
206,0,6.84,0.98,1,0.007392,0.026138,-0.999631,-0.076718,0.042841,-0.996132,-0.035,0.035
207,0,6.874,0.98,1,-0.000978,0.024448,-0.999701,-0.072826,0.041337,-0.996488,-0.037,0.033
208,0,6.907,0.98,1,-0.000929,0.008155,-0.999966,-0.087174,0.04034,-0.995376,-0.044,0.024
209,0,6.94,0.98,1,-0.001196,0.005236,-0.999986,-0.076625,0.036657,-0.996386,-0.039,0.021
210,0,6.974,0.98,1,0.00745,0.009944,-0.999923,-0.078684,0.039503,-0.996117,-0.036,0.025
211,0,7.007,0.98,1,0.011075,0.013633,-0.999846,-0.081702,0.044492,-0.995663,-0.035,0.029
212,0,7.04,0.98,1,0.01287,0.003818,-0.99991,-0.082122,0.040798,-0.995787,-0.035,0.022
213,0,7.074,0.98,1,0.013523,0.008624,-0.999871,-0.091498,0.045058,-0.994785,-0.039,0.027
214,0,7.107,0.98,1,-0.003719,0.006162,-0.999974,-0.082874,0.04146,-0.995697,-0.043,0.024
215,0,7.14,0.98,1,0.002547,0.017329,-0.999847,-0.082775,0.041205,-0.995716,-0.04,0.029
216,0,7.174,0.98,1,0.004155,0.016199,-0.99986,-0.085504,0.039687,-0.995547,-0.041,0.028
217,0,7.207,0.98,1,0.01062,0.019572,-0.999752,-0.081441,0.036776,-0.995999,-0.035,0.028
218,0,7.241,0.98,1,0.009875,0.013427,-0.999861,-0.083566,0.041337,-0.995645,-0.037,0.027
219,0,7.274,0.98,1,0.001653,0.011027,-0.999938,-0.089829,0.051651,-0.994617,-0.044,0.031
220,0,7.307,0.98,1,-0.001854,0.006726,-0.999976,-0.092258,0.041512,-0.994869,-0.047,0.024
221,0,7.341,0.98,1,-0.000208,0.025519,-0.999674,-0.086905,0.049991,-0.994962,-0.044,0.038
222,0,7.374,0.98,1,-0.002338,0.016948,-0.999854,-0.091959,0.048051,-0.994603,-0.047,0.033
223,0,7.407,0.98,1,0.002869,0.021166,-0.999772,-0.097382,0.051572,-0.99391,-0.047,0.036
224,0,7.441,0.98,1,0.008894,0.007474,-0.999933,-0.096526,0.046811,-0.994229,-0.044,0.027
225,0,7.474,0.98,1,-0.000942,0.001986,-0.999998,-0.091687,0.043699,-0.994829,-0.046,0.023
226,0,7.508,0.98,1,0.005322,-0.00053,-0.999986,-0.085776,0.04147,-0.995451,-0.04,0.021
227,0,7.541,0.98,1,0.006248,0.001513,-0.999979,-0.09282,0.043854,-0.994717,-0.043,0.023
228,0,7.574,0.98,1,0.003945,-0.009665,-0.999946,-0.091909,0.042725,-0.99485,-0.044,0.017
229,0,7.608,0.98,1,0.005909,-0.007786,-0.999952,-0.09205,0.035257,-0.99513,-0.043,0.014
230,0,7.641,0.98,1,0.010683,-0.008961,-0.999903,-0.089273,0.032893,-0.995464,-0.039,0.012
231,0,7.674,0.98,1,0.006865,-0.009701,-0.999929,-0.090746,0.036737,-0.995196,-0.042,0.014
232,0,7.708,0.98,1,0.007929,-0.011157,-0.999906,-0.093894,0.035706,-0.994942,-0.043,0.012
233,0,7.741,0.98,1,0.011904,-0.009304,-0.999886,-0.102336,0.042977,-0.993821,-0.045,0.017
234,0,7.774,0.98,1,0.006694,-0.011629,-0.99991,-0.093866,0.050716,-0.994292,-0.044,0.02
235,0,7.808,0.98,1,0.000505,-0.01226,-0.999925,-0.091292,0.046772,-0.994725,-0.045,0.017
236,0,7.841,0.98,1,0.005657,-0.015528,-0.999863,-0.097487,0.048366,-0.994061,-0.046,0.016
237,0,7.875,0.98,1,0.002295,-0.008775,-0.999959,-0.100318,0.0516,-0.993616,-0.049,0.021
238,0,7.908,0.98,1,0.000512,-0.012409,-0.999923,-0.09292,0.048164,-0.994508,-0.046,0.018
239,0,7.941,0.98,1,0.015636,-0.00897,-0.999838,-0.090909,0.054615,-0.99436,-0.038,0.023
240,0,7.975,0.98,1,0.023106,-0.000258,-0.999733,-0.093428,0.06308,-0.993626,-0.035,0.032
241,0,8.008,0.98,1,0.024295,-0.000963,-0.999704,-0.091114,0.065123,-0.993709,-0.034,0.032
242,0,8.041,0.98,1,0.01654,0.002284,-0.999861,-0.091478,0.059464,-0.99403,-0.038,0.031
243,0,8.075,0.98,1,0.01119,0.006682,-0.999915,-0.089988,0.062255,-0.993995,-0.039,0.035
244,0,8.108,0.98,1,-0.005637,0.00288,-0.99998,-0.092061,0.055246,-0.99422,-0.049,0.029
245,0,8.141,0.98,1,0.003529,0.016886,-0.999851,-0.090212,0.056366,-0.994326,-0.043,0.037
246,0,8.175,0.98,1,0.000997,0.0183,-0.999832,-0.084799,0.055257,-0.994865,-0.042,0.037
247,0,8.208,0.98,1,0.056897,0.08614,-0.994657,-0.011739,0.096697,-0.995245,0.023,0.092
248,0,8.242,0.98,1,0.068531,0.062865,-0.995666,0.00456,0.134016,-0.990969,0.037,0.099
249,0,8.275,0.98,1,0.072716,0.058054,-0.995662,0.007046,0.134474,-0.990892,0.04,0.097
250,0,8.308,0.98,1,0.072386,0.057675,-0.995708,0.012735,0.1385,-0.990281,0.043,0.098
251,0,8.342,0.98,1,0.084822,0.052833,-0.994994,0.02404,0.132937,-0.990833,0.055,0.093
252,0,8.375,0.98,1,0.077625,0.04463,-0.995983,0.029142,0.129147,-0.991197,0.054,0.087
253,0,8.408,0.98,1,0.074214,0.062534,-0.99528,0.037822,0.126568,-0.991237,0.056,0.095
254,0,8.442,0.98,1,0.080133,0.077099,-0.993798,0.044724,0.1373,-0.989519,0.063,0.108
255,0,8.475,0.98,1,0.087518,0.081115,-0.992855,0.04444,0.139362,-0.989244,0.066,0.111
256,0,8.509,0.98,1,0.093253,0.083544,-0.992131,0.056438,0.144158,-0.987944,0.075,0.114
257,0,8.542,0.98,1,0.093172,0.098543,-0.990761,0.059415,0.152838,-0.986464,0.077,0.126
258,0,8.575,0.98,1,0.093458,0.098089,-0.99078,0.065183,0.167654,-0.983689,0.08,0.134
259,0,8.609,0.98,1,0.115244,0.113465,-0.986836,0.07071,0.171522,-0.982639,0.094,0.144
260,0,8.642,0.98,1,0.101484,0.118623,-0.98774,0.076314,0.169035,-0.982651,0.09,0.145
261,0,8.675,0.98,1,0.110184,0.121903,-0.986407,0.07713,0.169603,-0.98249,0.095,0.147
262,0,8.709,0.98,1,0.119635,0.128572,-0.984458,0.082252,0.163486,-0.983111,0.102,0.147
263,0,8.742,0.98,1,0.124001,0.12682,-0.984145,0.081421,0.163445,-0.983187,0.104,0.146
264,0,8.775,0.98,1,0.115022,0.11899,-0.986211,0.082698,0.155027,-0.984443,0.1,0.138
265,0,8.809,0.98,1,0.121814,0.115808,-0.985774,0.083336,0.141398,-0.986439,0.104,0.13
266,0,8.842,0.98,1,0.115082,0.1166,-0.986489,0.079712,0.141548,-0.986717,0.098,0.13
267,0,8.876,0.98,1,0.119942,0.108679,-0.986814,0.077768,0.12751,-0.988784,0.1,0.119
268,0,8.909,0.98,1,0.12037,0.106842,-0.986963,0.075622,0.125927,-0.989153,0.099,0.117
269,0,8.942,0.98,1,0.125676,0.114909,-0.985394,0.082044,0.135457,-0.98738,0.105,0.126
270,0,8.976,0.98,1,0.120194,0.11138,-0.986483,0.081147,0.141447,-0.986614,0.102,0.127
271,0,9.009,0.98,1,0.121793,0.108201,-0.98664,0.076433,0.137423,-0.987559,0.1,0.124
272,0,9.042,0.98,1,0.131484,0.106942,-0.985533,0.086444,0.137131,-0.986774,0.11,0.123
273,0,9.076,0.98,1,0.138096,0.103018,-0.985047,0.089929,0.134256,-0.986858,0.115,0.12
274,0,9.109,0.98,1,0.14509,0.102015,-0.984145,0.091542,0.134331,-0.986699,0.119,0.119
275,0,9.142,0.98,1,0.148077,0.091449,-0.984739,0.093589,0.136442,-0.986217,0.122,0.115
276,0,9.176,0.98,1,0.139161,0.094707,-0.985731,0.097263,0.133687,-0.986239,0.119,0.115
277,0,9.209,0.98,1,0.143317,0.091474,-0.98544,0.090951,0.136127,-0.986508,0.118,0.115
278,0,9.243,0.98,1,0.142626,0.095354,-0.985173,0.096915,0.137397,-0.985763,0.121,0.118
279,0,9.276,0.98,1,0.147211,0.096687,-0.984368,0.09694,0.139893,-0.98541,0.123,0.12
280,0,9.309,0.98,1,0.144856,0.101101,-0.984274,0.088668,0.140662,-0.986079,0.118,0.122
281,0,9.343,0.98,1,0.137991,0.101116,-0.985258,0.084885,0.136884,-0.986943,0.113,0.12
282,0,9.376,0.98,1,0.128973,0.093779,-0.987204,0.090373,0.137895,-0.986315,0.111,0.117
283,0,9.409,0.98,1,0.130637,0.095166,-0.986852,0.090897,0.131319,-0.987164,0.112,0.114
284,0,9.443,0.98,1,0.134765,0.099034,-0.985916,0.094459,0.13473,-0.98637,0.116,0.118
285,0,9.476,0.98,1,0.135624,0.100711,-0.985628,0.094369,0.140924,-0.985512,0.116,0.122
286,0,9.51,0.98,1,0.137268,0.098587,-0.985615,0.092057,0.129346,-0.987317,0.116,0.115
287,0,9.543,0.98,1,0.135828,0.099577,-0.985716,0.090938,0.123657,-0.988149,0.114,0.113
288,0,9.576,0.98,1,0.133067,0.10139,-0.985907,0.086847,0.130718,-0.987608,0.111,0.117
289,0,9.61,0.98,1,0.132081,0.098455,-0.986337,0.089901,0.136612,-0.986537,0.112,0.119
290,0,9.643,0.98,1,0.133413,0.094582,-0.986537,0.087807,0.134202,-0.987056,0.112,0.115
291,0,9.676,0.98,1,0.136022,0.098359,-0.985811,0.091955,0.126461,-0.9877,0.115,0.113
292,0,9.71,0.98,1,0.141315,0.099047,-0.984997,0.099507,0.130604,-0.986428,0.122,0.116
293,0,9.743,0.98,1,0.134542,0.096425,-0.986205,0.091429,0.132412,-0.986969,0.114,0.115
294,0,9.776,0.98,1,0.132076,0.09874,-0.986309,0.085389,0.131526,-0.987628,0.11,0.116
295,0,9.81,0.98,1,0.128113,0.099707,-0.986735,0.089769,0.129388,-0.987522,0.11,0.116
296,0,9.843,0.98,1,0.134518,0.10275,-0.98557,0.090252,0.139008,-0.98617,0.114,0.122
297,0,9.877,0.98,1,0.131531,0.102367,-0.986012,0.091103,0.136273,-0.986474,0.112,0.12
298,0,9.91,0.98,1,0.131809,0.100622,-0.986155,0.092263,0.138985,-0.985987,0.113,0.121
299,0,9.943,0.98,1,0.132681,0.097576,-0.986344,0.087252,0.130643,-0.987583,0.111,0.115
300,0,9.977,0.98,1,0.131506,0.104079,-0.985837,0.089819,0.127663,-0.987742,0.112,0.117
301,0,10.01,0.98,1,0.133053,0.101472,-0.985901,0.0947,0.126408,-0.987448,0.115,0.115
302,0,10.043,0.98,1,0.133118,0.094414,-0.986593,0.094764,0.127994,-0.987237,0.115,0.112
303,0,10.077,0.98,1,0.130504,0.101798,-0.986208,0.090948,0.125928,-0.987862,0.112,0.115
304,0,10.11,0.98,1,0.143753,0.10758,-0.983749,0.094239,0.144722,-0.984974,0.12,0.127
305,0,10.143,0.98,1,0.141056,0.113053,-0.983525,0.095925,0.14965,-0.984075,0.12,0.133
306,0,10.177,0.98,1,0.138957,0.115892,-0.983494,0.094823,0.148477,-0.984359,0.118,0.134
307,0,10.21,0.98,1,0.14187,0.114886,-0.983196,0.096845,0.153429,-0.983403,0.121,0.136
308,0,10.244,0.98,1,0.143299,0.118098,-0.982608,0.097004,0.152766,-0.98349,0.122,0.137
309,0,10.277,0.98,1,0.150448,0.118231,-0.981523,0.099222,0.155566,-0.98283,0.126,0.138
310,0,10.31,0.98,1,0.136237,0.103046,-0.985303,0.090513,0.14545,-0.985217,0.115,0.125
311,0,10.344,0.98,1,0.13466,0.104287,-0.985389,0.087329,0.144024,-0.985713,0.112,0.125
312,0,10.377,0.98,1,0.126469,0.087722,-0.988084,0.082553,0.135687,-0.987306,0.105,0.113
313,0,10.41,0.98,1,0.116925,0.079566,-0.989948,0.088296,0.132193,-0.987284,0.103,0.107
314,0,10.444,0.98,1,0.113525,0.082316,-0.990119,0.093172,0.136812,-0.986206,0.104,0.11
315,0,10.477,0.98,1,0.117608,0.09389,-0.988612,0.08968,0.138242,-0.98633,0.105,0.117
316,0,10.511,0.98,1,0.113363,0.094849,-0.989016,0.090072,0.136627,-0.986519,0.103,0.117
317,0,10.544,0.98,1,0.122403,0.088484,-0.988528,0.08953,0.130819,-0.987355,0.107,0.111
318,0,10.577,0.98,1,0.11461,0.088749,-0.989438,0.089771,0.132101,-0.987163,0.103,0.111
319,0,10.611,0.98,1,0.120395,0.087834,-0.988833,0.089801,0.134462,-0.986841,0.106,0.112
320,0,10.644,0.98,1,0.119856,0.095149,-0.988221,0.088163,0.134357,-0.987003,0.105,0.116
321,0,10.677,0.98,1,0.125899,0.096259,-0.987362,0.087313,0.137701,-0.986618,0.108,0.118
322,0,10.711,0.98,1,0.126553,0.09765,-0.987142,0.086155,0.135083,-0.987082,0.107,0.117
323,0,10.744,0.98,1,0.127134,0.095817,-0.987247,0.087743,0.137575,-0.986597,0.108,0.118
324,0,10.777,0.98,1,0.128795,0.099892,-0.986627,0.087946,0.146363,-0.985314,0.109,0.124
325,0,10.811,0.98,1,0.123292,0.105394,-0.986758,0.080172,0.144893,-0.986194,0.103,0.126
326,0,10.844,0.98,1,0.09654,0.138473,-0.98565,0.039778,0.147683,-0.988235,0.069,0.144
327,0,10.878,0.98,1,0.077582,0.173268,-0.981814,-0.063037,0.177019,-0.982187,0.007,0.176
328,0,10.911,0.98,1,0.049995,0.166059,-0.984848,-0.059621,0.16451,-0.984572,-0.005,0.166
329,0,10.944,0.98,1,0.037391,0.155593,-0.987113,-0.045888,0.128511,-0.990646,-0.004,0.143
330,0,10.978,0.98,1,0.033103,0.150585,-0.988043,-0.056749,0.122256,-0.990875,-0.012,0.137
331,0,11.011,0.98,1,0.011376,0.155518,-0.987768,-0.067684,0.135757,-0.988427,-0.028,0.146
332,0,11.044,0.98,1,-0.007221,0.164693,-0.986318,-0.08498,0.159958,-0.983459,-0.047,0.163
333,0,11.078,0.98,1,-0.005937,0.165542,-0.986185,-0.084161,0.148808,-0.985278,-0.046,0.158
334,0,11.111,0.98,1,-0.011068,0.162248,-0.986688,-0.107757,0.159376,-0.981319,-0.06,0.162
335,0,11.144,0.98,1,-0.001119,0.16323,-0.986587,-0.131123,0.161039,-0.978199,-0.067,0.164
336,0,11.178,0.98,1,-0.002869,0.156084,-0.98774,-0.144274,0.164209,-0.975818,-0.075,0.162
337,0,11.211,0.98,1,-0.028306,0.164927,-0.9859,-0.152854,0.16828,-0.973816,-0.092,0.168
338,0,11.245,0.98,1,-0.029249,0.168806,-0.985215,-0.163825,0.168037,-0.972072,-0.098,0.17
339,0,11.278,0.98,1,-0.038894,0.175069,-0.983788,-0.168544,0.16068,-0.97251,-0.106,0.17
340,0,11.311,0.98,1,-0.061772,0.135978,-0.988784,-0.179023,0.143487,-0.973325,-0.122,0.141
341,0,11.345,0.98,1,-0.037886,0.156308,-0.986982,-0.207392,0.146606,-0.96721,-0.125,0.154
342,0,11.378,0.98,1,-0.080021,0.151962,-0.985142,-0.225068,0.141195,-0.964058,-0.155,0.149
343,0,11.411,0.98,1,-0.073079,0.146304,-0.986537,-0.218319,0.144355,-0.965142,-0.148,0.148
344,0,11.445,0.98,1,-0.064064,0.143683,-0.987548,-0.231716,0.154752,-0.960395,-0.151,0.152
345,0,11.478,0.88,1,-0.068872,0.142337,-0.987419,-0.236038,0.154049,-0.959456,-0.155,0.151
346,0,11.512,0.98,1,-0.032932,0.132651,-0.990616,-0.212346,0.156157,-0.964637,-0.125,0.147
347,0,11.545,0.98,1,-0.028657,0.143235,-0.989274,-0.235141,0.150622,-0.96022,-0.134,0.15
348,0,11.578,0.98,1,-0.069921,0.11464,-0.990943,-0.251577,0.149825,-0.95617,-0.164,0.135
349,0,11.612,0.98,1,-0.070342,0.113301,-0.991068,-0.241885,0.155521,-0.95776,-0.159,0.137
350,0,11.645,0.98,1,-0.075703,0.141159,-0.987088,-0.24406,0.166394,-0.955378,-0.163,0.157
351,0,11.678,0.98,1,-0.068895,0.139459,-0.987828,-0.250429,0.170948,-0.952923,-0.163,0.159
352,0,11.712,0.98,1,-0.053503,0.107118,-0.992806,-0.2381,0.163586,-0.957365,-0.148,0.138
353,0,11.745,0.98,1,-0.024952,0.119835,-0.99248,-0.240231,0.162586,-0.957003,-0.135,0.144
354,0,11.778,0.98,1,-0.029715,0.134812,-0.990426,-0.260354,0.159452,-0.952256,-0.148,0.15
355,0,11.812,0.98,1,-0.039569,0.149122,-0.988027,-0.256839,0.165384,-0.952198,-0.152,0.161
356,0,11.845,0.98,1,-0.05441,0.153031,-0.986722,-0.247397,0.165355,-0.9547,-0.154,0.163
357,0,11.879,0.98,1,-0.04241,0.163033,-0.985709,-0.244186,0.165568,-0.95549,-0.147,0.168
358,0,11.912,0.98,1,-0.04648,0.161388,-0.985796,-0.242173,0.170868,-0.955069,-0.148,0.17
359,0,11.945,0.98,1,-0.039452,0.154276,-0.98724,-0.246964,0.168835,-0.954203,-0.146,0.165
360,0,11.979,0.98,1,-0.042798,0.145433,-0.988442,-0.250585,0.164825,-0.95396,-0.15,0.158
361,0,12.012,0.98,1,-0.03615,0.167128,-0.985272,-0.248668,0.166711,-0.954134,-0.146,0.17
362,0,12.045,0.98,1,-0.022034,0.147822,-0.988769,-0.218675,0.162076,-0.962243,-0.123,0.158
363,0,12.079,0.98,1,-0.024217,0.143465,-0.989359,-0.22069,0.160007,-0.96213,-0.125,0.154
364,0,12.112,0.98,1,-0.034418,0.149161,-0.988214,-0.233458,0.154268,-0.960051,-0.137,0.155
365,0,12.145,0.98,1,-0.038801,0.15261,-0.987525,-0.238554,0.147312,-0.959891,-0.141,0.153
366,0,12.179,0.98,1,-0.034729,0.159497,-0.986587,-0.23758,0.153567,-0.959152,-0.139,0.16
367,0,12.212,0.98,1,-0.032391,0.159791,-0.986619,-0.233485,0.154299,-0.96004,-0.136,0.16
368,0,12.246,0.98,1,-0.034969,0.156219,-0.987103,-0.235189,0.153497,-0.959753,-0.138,0.158
369,0,12.279,0.98,1,-0.036747,0.156673,-0.986967,-0.242641,0.160471,-0.956752,-0.143,0.162
370,0,12.312,0.98,1,-0.034184,0.156693,-0.987056,-0.245944,0.156516,-0.956564,-0.143,0.16
371,0,12.346,0.98,1,-0.031947,0.162735,-0.986153,-0.24832,0.163828,-0.954724,-0.143,0.167
372,0,12.379,0.98,1,-0.036801,0.157854,-0.986777,-0.244443,0.165913,-0.955364,-0.144,0.165
373,0,12.412,0.98,1,-0.036166,0.16685,-0.985319,-0.246647,0.165373,-0.954891,-0.145,0.17
374,0,12.446,0.98,1,-0.03548,0.161337,-0.986261,-0.25037,0.166507,-0.953724,-0.146,0.167
375,0,12.479,0.98,1,-0.032786,0.150105,-0.988126,-0.246766,0.170384,-0.953979,-0.143,0.164
376,0,12.513,0.98,1,-0.045765,0.142903,-0.988678,-0.244658,0.168173,-0.954914,-0.148,0.159
377,0,12.546,0.98,1,-0.037174,0.150907,-0.987849,-0.243689,0.173519,-0.954205,-0.144,0.166
378,0,12.579,0.88,1,-0.039651,0.148503,-0.988117,-0.241019,0.173461,-0.954893,-0.143,0.164
379,0,12.613,0.98,1,-0.03766,0.138458,-0.989652,-0.217517,0.158793,-0.963053,-0.13,0.151
380,0,12.646,0.98,1,-0.048445,0.149282,-0.987607,-0.241168,0.158859,-0.957393,-0.148,0.157
381,0,12.679,0.98,1,-0.033639,0.155428,-0.987274,-0.242605,0.161142,-0.956648,-0.141,0.161
382,0,12.713,0.98,1,-0.041979,0.143484,-0.988762,-0.235079,0.156222,-0.95934,-0.141,0.153
383,0,12.746,0.98,1,-0.040782,0.138623,-0.989505,-0.237786,0.153941,-0.959041,-0.142,0.149
384,0,12.779,0.98,1,-0.036004,0.148914,-0.988194,-0.236007,0.1563,-0.959099,-0.139,0.155
385,0,12.813,0.98,1,-0.034349,0.161518,-0.986272,-0.236977,0.161893,-0.957931,-0.139,0.165
386,0,12.846,0.98,1,-0.039879,0.160564,-0.986219,-0.232251,0.164362,-0.958668,-0.139,0.166
387,0,12.88,0.98,1,-0.036557,0.156465,-0.987007,-0.244127,0.162797,-0.955981,-0.143,0.163
388,0,12.913,0.98,1,-0.03521,0.15417,-0.987417,-0.241279,0.16183,-0.956868,-0.141,0.161
389,0,12.946,0.98,1,-0.036088,0.156932,-0.98695,-0.232974,0.164162,-0.958527,-0.137,0.164
390,0,12.98,0.98,1,-0.031714,0.139965,-0.989648,-0.221495,0.139374,-0.96515,-0.129,0.142
391,0,13.013,0.98,1,-0.038742,0.131723,-0.990529,-0.216723,0.138504,-0.966358,-0.13,0.137
392,0,13.046,0.98,1,-0.034717,0.149262,-0.988188,-0.242646,0.154621,-0.957713,-0.142,0.155
393,0,13.08,0.98,1,-0.043042,0.157394,-0.986597,-0.249066,0.154029,-0.95616,-0.149,0.159
394,0,13.113,0.98,1,-0.040301,0.155077,-0.98708,-0.249327,0.150055,-0.956723,-0.148,0.156
395,0,13.146,0.98,1,-0.044442,0.150997,-0.987535,-0.248729,0.151089,-0.956716,-0.15,0.154
396,0,13.18,0.98,1,-0.045073,0.156684,-0.98662,-0.245297,0.150193,-0.957743,-0.148,0.157
397,0,13.213,0.98,1,-0.042936,0.155092,-0.986967,-0.245541,0.154029,-0.957071,-0.147,0.158
398,0,13.247,0.98,1,-0.047875,0.15855,-0.98619,-0.246722,0.15083,-0.957277,-0.15,0.158
399,0,13.28,0.98,1,-0.047601,0.164736,-0.985188,-0.23758,0.151962,-0.959408,-0.146,0.161
400,0,13.313,0.98,1,-0.038351,0.166402,-0.985312,-0.241108,0.152726,-0.958406,-0.143,0.163
401,0,13.347,0.88,1,-0.039432,0.166961,-0.985175,-0.235111,0.157844,-0.959066,-0.14,0.166
402,0,13.38,0.98,1,-0.032213,0.148023,-0.988459,-0.22798,0.146906,-0.96252,-0.133,0.15
403,0,13.413,0.98,1,-0.042722,0.143399,-0.988742,-0.241739,0.151537,-0.958436,-0.145,0.15
404,0,13.447,0.98,1,-0.039641,0.14847,-0.988122,-0.241515,0.156753,-0.957653,-0.144,0.156
